id,symbol,baseRate,multiplier,jumpMultiplier,kink,reserveFactor,updatedAt,protocol,liquidationThreshold,ltv,psmFee,redemptionFee
1185,BKT-AF-AFSUI-SUI,0,0,0,0,0,2026-07-02 01:24:53.804,bucket,0,0,,
1184,BKT-KRIYA-FOUNTAIN-1,0,0,0,0,0,2026-07-02 01:24:53.796,bucket,0,0,,
1168,BKT-PSM-BLUEFIN_STABLE_LP,0,0,0,0,0,2026-07-02 01:24:53.666,bucket,0,0,,
1167,BKT-PSM-BUCKETUS,0,0,0,0,0,2026-07-02 01:24:53.658,bucket,0,0,,
1169,BKT-PSM-CETABLE,0,0,0,0,0,2026-07-02 01:24:53.674,bucket,0,0,,
1166,BKT-PSM-FDUSD,0,0,0,0,0,2026-07-02 01:24:53.65,bucket,0,0,,
1170,BKT-PSM-STAPEARL,0,0,0,0,0,2026-07-02 01:24:53.682,bucket,0,0,,
1163,BKT-PSM-USDC_CIRCLE,0,0,0,0,0,2026-07-02 01:24:53.625,bucket,0,0,,
1164,BKT-PSM-USDC_WORMHOLE,0,0,0,0,0,2026-07-02 01:24:53.634,bucket,0,0,,
1165,BKT-PSM-USDT_WORMHOLE,0,0,0,0,0,2026-07-02 01:24:53.642,bucket,0,0,,
1171,BKT-SAVE-AFSUI_S,0,0,0,0,0,2026-07-02 01:24:53.69,bucket,0,0,,
1176,BKT-SAVE-HASUI_NAVI_POND,0,0,0,0,0,2026-07-02 01:24:53.73,bucket,0,0,,
1173,BKT-SAVE-HASUI_S,0,0,0,0,0,2026-07-02 01:24:53.706,bucket,0,0,,
1175,BKT-SAVE-NAVI_STSUI,0,0,0,0,0,2026-07-02 01:24:53.722,bucket,0,0,,
1174,BKT-SAVE-NAVI_VSUI,0,0,0,0,0,2026-07-02 01:24:53.715,bucket,0,0,,
1177,BKT-SAVE-SUI_NAVI_POND,0,0,0,0,0,2026-07-02 01:24:53.739,bucket,0,0,,
1172,BKT-SAVE-VSUI_S,0,0,0,0,0,2026-07-02 01:24:53.698,bucket,0,0,,
1182,BKT-SCOIN-NAVI_CIRCLE_USDC,0,0,0,0,0,2026-07-02 01:24:53.78,bucket,0,0,,
1183,BKT-SCOIN-NAVI_SUI_BRIDGE_USDT,0,0,0,0,0,2026-07-02 01:24:53.788,bucket,0,0,,
1180,BKT-SCOIN-SCALLOP_CIRCLE_USDC,0,0,0,0,0,2026-07-02 01:24:53.764,bucket,0,0,,
1181,BKT-SCOIN-SCALLOP_SUI_BRIDGE_USDT,0,0,0,0,0,2026-07-02 01:24:53.772,bucket,0,0,,
1178,BKT-SCOIN-SCALLOP_USDC,0,0,0,0,0,2026-07-02 01:24:53.747,bucket,0,0,,
1179,BKT-SCOIN-SCALLOP_USDT,0,0,0,0,0,2026-07-02 01:24:53.755,bucket,0,0,,
993,PSM-BUCK,0,0,0,0,0,2026-07-02 01:24:53.185,bucket,1,1,0,
994,PSM-USDC,0,0,0,0,0,2026-07-02 01:24:53.167,bucket,1,1,0.5,
995,PSM-USDSUI,0,0,0,0,0,2026-07-02 01:24:53.194,bucket,1,1,0.5,
996,PSM-USDT,0,0,0,0,0,2026-07-02 01:24:53.176,bucket,1,1,,
1111,SAVING-USDB,0,0,0,0,0,2026-07-02 01:24:53.203,bucket,0,0,,
116,SUI,8,0,0,0,0,2026-07-02 01:24:53.15,bucket,0.9090909090909091,0.9090909090909091,,
1118,V1-AF_LP,0,0,0,0,0,2026-07-02 01:24:53.269,bucket,0,0,,
1132,V1-BTC,0,0,0,0,0,2026-07-02 01:24:53.372,bucket,0,0,,
1113,V1-CETUS,0,0,0,0,0,2026-07-02 01:24:53.221,bucket,0,0,,
1121,V1-COIN,0,0,0,0,0,2026-07-02 01:24:53.438,bucket,0,0,,
1140,V1-ETH,0,0,0,0,0,2026-06-03 01:15:30.784,bucket,0,0,,
1116,V1-HAEDAL,0,0,0,0,0,2026-07-02 01:24:53.248,bucket,0,0,,
1117,V1-LBTC,0,0,0,0,0,2026-07-02 01:24:53.26,bucket,0,0,,
1125,V1-LP_TOKEN,0,0,0,0,0,2026-07-02 01:24:53.322,bucket,0,0,,
1129,V1-MSUI,0,0,0,0,0,2026-06-03 01:15:30.669,bucket,0,0,,
1143,V1-MUSD,0,0,0,0,0,2026-07-02 01:24:53.463,bucket,0,0,,
1131,V1-NAVX,0,0,0,0,0,2026-07-02 01:24:53.361,bucket,0,0,,
1123,V1-SCA,0,0,0,0,0,2026-07-02 01:24:53.305,bucket,0,0,,
1145,V1-SCALLOP_DEEP,0,0,0,0,0,2026-07-02 01:24:53.48,bucket,0,0,,
1136,V1-SCALLOP_SB_ETH,0,0,0,0,0,2026-06-03 01:15:30.741,bucket,0,0,,
1137,V1-SCALLOP_SB_USDT,0,0,0,0,0,2026-07-02 01:24:53.421,bucket,0,0,,
1120,V1-SCALLOP_SCA,0,0,0,0,0,2026-07-02 01:24:53.287,bucket,0,0,,
1133,V1-SCALLOP_SUI,0,0,0,0,0,2026-07-02 01:24:53.38,bucket,0,0,,
1127,V1-SCALLOP_USDC,0,0,0,0,0,2026-07-02 01:24:53.339,bucket,0,0,,
1122,V1-SCALLOP_WAL,0,0,0,0,0,2026-06-04 01:15:30.695,bucket,0,0,,
1134,V1-SCALLOP_WORMHOLE_USDC,0,0,0,0,0,2026-07-02 01:24:53.388,bucket,0,0,,
1144,V1-SCALLOP_WORMHOLE_USDT,0,0,0,0,0,2026-07-02 01:24:53.471,bucket,0,0,,
1141,V1-STSUI,0,0,0,0,0,2026-07-02 01:24:53.447,bucket,0,0,,
1112,V1-SUI,0,0,0,0,0,2026-07-02 01:24:53.23,bucket,0,0,,
1124,V1-TBTC,0,0,0,0,0,2026-07-02 01:24:53.313,bucket,0,0,,
1142,V1-TLP,0,0,0,0,0,2026-07-02 01:24:53.455,bucket,0,0,,
1130,V1-USDY,0,0,0,0,0,2026-07-02 01:24:53.348,bucket,0,0,,
1115,V1-WAL,0,0,0,0,0,2026-07-02 01:24:53.239,bucket,0,0,,
1135,V1-WETH,0,0,0,0,0,2026-07-02 01:24:53.397,bucket,0,0,,
1128,V1-XBTC,0,0,0,0,0,2026-06-03 01:15:30.659,bucket,0,0,,
1146,V1-afSUI,0,0,0,0,0,2026-07-02 01:24:53.488,bucket,0,0,,
1138,V1-haSUI,0,0,0,0,0,2026-07-02 01:24:53.43,bucket,0,0,,
1126,V1-sSUI,0,0,0,0,0,2026-07-02 01:24:53.331,bucket,0,0,,
1119,V1-vSUI,0,0,0,0,0,2026-07-02 01:24:53.277,bucket,0,0,,
998,V1PSM-AUSD,0,0,0,0,0,2026-07-02 01:24:53.513,bucket,1,1,,
999,V1PSM-BLUEFIN_STABLE_LP,0,0,0,0,0,2026-07-02 01:24:53.538,bucket,1,1,,
1000,V1PSM-BUCKETUS,0,0,0,0,0,2026-07-02 01:24:53.554,bucket,1,1,,
1001,V1PSM-CETABLE,0,0,0,0,0,2026-07-02 01:24:53.496,bucket,1,1,,
1002,V1PSM-COIN,0,0,0,0,0,2026-07-02 01:24:53.61,bucket,1,1,,
1003,V1PSM-FDUSD,0,0,0,0,0,2026-07-02 01:24:53.618,bucket,1,1,,
1004,V1PSM-SCABLE,0,0,0,0,0,2026-07-02 01:24:53.504,bucket,1,1,,
1005,V1PSM-STAPEARL,0,0,0,0,0,2026-07-02 01:24:53.594,bucket,1,1,,
1006,V1PSM-USDC,0,0,0,0,0,2026-07-02 01:24:53.602,bucket,1,1,,
1007,V1PSM-USDT,0,0,0,0,0,2026-07-02 01:24:53.521,bucket,1,1,,
117,WBTC,9,0,0,0,0,2026-07-02 01:24:53.159,bucket,0.9090909090909091,0.9090909090909091,,
2911,XBTC,9,0,0,0,0,2026-07-02 01:24:53.107,bucket,0.9090909090909091,0.9090909090909091,,
113,afSUI,9,0,0,0,0,2026-07-02 01:24:53.123,bucket,0.9090909090909091,0.9090909090909091,,
115,haSUI,9,0,0,0,0,2026-07-02 01:24:53.142,bucket,0.9090909090909091,0.9090909090909091,,
114,vSUI,9,0,0,0,0,2026-07-02 01:24:53.132,bucket,0.9090909090909091,0.9090909090909091,,
26,AUSD,0,2.5,0,0.8,0.3,2026-07-02 00:26:46.665,navi,0.85,0,,
18,BLUE,0,60,0,0.3,0.3,2026-07-02 00:26:46.591,navi,0.45,0.4,,
17,BUCK,0,1.625,0,0.8,0.3,2026-07-02 00:26:46.582,navi,0.75,0.7,,
31,CETUS,0,40,0,0.5,0.3,2026-07-02 00:26:46.703,navi,0.55,0.5,,
20,DEEP,0,5.899999999999999,0,0.85,0.3,2026-07-02 00:26:46.609,navi,0.52,0.47,,
19,FDUSD,0,2.5,0,0.85,0.25,2026-07-02 00:26:46.6,navi,0.75,0.7,,
10,HAEDAL,0,80,0,0.2,0.3,2026-07-02 00:26:46.52,navi,0.55,0.5,,
8,IKA,0,140,0,0.3,0.7,2026-07-02 00:26:46.501,navi,0.35,0,,
12,LBTC,0,8,0,0.5,0.5,2026-07-02 00:26:46.538,navi,0.7,0.65,,
6,MBTC,0,8,0,0.5,0.3,2026-07-02 00:26:46.475,navi,0.7,0.65,,
28,NAVX,0,80,0,0.1,0.2,2026-07-02 00:26:46.673,navi,0.65,0.45,,
22,NS,0,40,0,0.5,0.4,2026-07-02 00:26:46.627,navi,0.5,0.47,,
13,SOL,0,23.75,0,0.8,0.3,2026-07-02 00:26:46.546,navi,0.65,0.6,,
35,SUI,0,2,0,0.9,0.2,2026-07-02 00:26:46.738,navi,0.8,0.75,,
25,USDC,0,4.75,0,0.9,0.2,2026-07-02 00:26:46.656,navi,0.85,0.8,,
1,USDSUI,0,6,0,0.9,0.2,2026-07-02 00:26:46.405,navi,0.78,0.75,,
23,USDY,0,6,0,0.85,0.25,2026-07-02 00:26:46.635,navi,0.75,0.7,,
