protocol,symbol,supply_usd,borrows_usd,as_of
bucket,BKT-SCOIN-NAVI_SUI_BRIDGE_USDT,19233.72960855303,0,2026-06-30T01:24:53.128Z
bucket,BKT-SCOIN-SCALLOP_CIRCLE_USDC,0.9647214019359958,0,2026-06-30T01:24:53.128Z
bucket,BKT-SCOIN-SCALLOP_SUI_BRIDGE_USDT,0.3027131871304056,0,2026-06-30T01:24:53.128Z
bucket,BKT-SCOIN-SCALLOP_USDC,0.5510862204814996,0,2026-06-30T01:24:53.128Z
bucket,BKT-SCOIN-SCALLOP_USDT,0.1962956685887897,0,2026-06-30T01:24:53.128Z
bucket,PSM-BUCK,2358612.692413932,2365604.592936,2026-06-30T01:24:53.128Z
bucket,PSM-USDC,8864.2318669981,8867.618688,2026-06-30T01:24:53.128Z
bucket,PSM-USDSUI,394322.3354387613,394305.158063,2026-06-30T01:24:53.128Z
bucket,PSM-USDT,0,0,2026-06-30T01:24:53.128Z
bucket,SAVING-USDB,7326781.083668,0,2026-06-30T01:24:53.128Z
bucket,SUI,42139.99785541409,27152.751611,2026-06-30T01:24:53.128Z
bucket,V1-AF_LP,0,0,2026-06-30T01:24:53.128Z
bucket,V1-BTC,676.370004638951,9e-9,2026-06-30T01:24:53.128Z
bucket,V1-CETUS,17.51946219421314,9.818140909,2026-06-30T01:24:53.128Z
bucket,V1-COIN,8521.903308845476,11.591830138,2026-06-30T01:24:53.128Z
bucket,V1-HAEDAL,24.21346794434756,50.493491719,2026-06-30T01:24:53.128Z
bucket,V1-LBTC,1047.465653418666,427.603076987,2026-06-30T01:24:53.128Z
bucket,V1-LP_TOKEN,0,1487.982953506,2026-06-30T01:24:53.128Z
bucket,V1-MUSD,72.77562734301762,50.480380224,2026-06-30T01:24:53.128Z
bucket,V1-NAVX,50.24977100361807,52.870769635,2026-06-30T01:24:53.128Z
bucket,V1-SCA,1122.029704378841,1865.037219788,2026-06-30T01:24:53.128Z
bucket,V1-SCALLOP_DEEP,8081.183931885973,1357.181489418,2026-06-30T01:24:53.128Z
bucket,V1-SCALLOP_SB_USDT,532.2207198722026,351.752143974,2026-06-30T01:24:53.128Z
bucket,V1-SCALLOP_SCA,117.3672002717403,161.471204678,2026-06-30T01:24:53.128Z
bucket,V1-SCALLOP_SUI,74769.61325142255,46074.664609529,2026-06-30T01:24:53.128Z
bucket,V1-SCALLOP_USDC,13348.10063299308,6936.815729502,2026-06-30T01:24:53.128Z
bucket,V1-SCALLOP_WORMHOLE_USDC,643.9852484625692,433.909154048,2026-06-30T01:24:53.128Z
bucket,V1-SCALLOP_WORMHOLE_USDT,2096.20528601227,1103.287121769,2026-06-30T01:24:53.128Z
bucket,V1-STSUI,36.50449830053147,36.308843496,2026-06-30T01:24:53.128Z
bucket,V1-SUI,0,3017.794346294,2026-06-30T01:24:53.128Z
bucket,V1-TBTC,292.560260881981,287.95682578,2026-06-30T01:24:53.128Z
bucket,V1-TLP,0,12494.869472018,2026-06-30T01:24:53.128Z
bucket,V1-USDY,864.2238787544854,631.402612568,2026-06-30T01:24:53.128Z
bucket,V1-WAL,36057.68440658497,50584.022907858,2026-06-30T01:24:53.128Z
bucket,V1-WETH,1409.45866407523,313.208336622,2026-06-30T01:24:53.128Z
bucket,V1-afSUI,5609.543422505161,3316.922776136,2026-06-30T01:24:53.128Z
bucket,V1-haSUI,2946.262960110827,905.906536148,2026-06-30T01:24:53.128Z
bucket,V1-sSUI,74.4849354739935,52.128022742,2026-06-30T01:24:53.128Z
bucket,V1-vSUI,12017.11124611304,10784.652371709,2026-06-30T01:24:53.128Z
bucket,V1PSM-AUSD,7.307956001,7.307956001,2026-06-30T01:24:53.128Z
bucket,V1PSM-BLUEFIN_STABLE_LP,282087.505173162,282087.505173162,2026-06-30T01:24:53.128Z
bucket,V1PSM-BUCKETUS,1937877.33561359,1937877.33561359,2026-06-30T01:24:53.128Z
bucket,V1PSM-CETABLE,0.238021,0.238021,2026-06-30T01:24:53.128Z
bucket,V1PSM-COIN,1019.758977,1019.758977,2026-06-30T01:24:53.128Z
bucket,V1PSM-FDUSD,0.070352,0.070352,2026-06-30T01:24:53.128Z
bucket,V1PSM-SCABLE,854.607426626,854.607426626,2026-06-30T01:24:53.128Z
bucket,V1PSM-STAPEARL,0.059598,0.059598,2026-06-30T01:24:53.128Z
