date,protocol,events,debt_usd,seized_usd
2026-06-14,navi,38,347.26959320385396,381.99654438258386
2026-06-14,scallop,1,10.47501082154463,10.89401125229694
2026-06-15,navi,16,52.4896352294877,57.444178774608076
2026-06-15,suilend,2,17.79620397313619,18.044160433654323
2026-06-16,alphalend,1,0.00243855,3.185245348
2026-06-16,navi,10,152.0818417294615,167.2900218205522
2026-06-16,scallop,2,39.41788820220735,39.844909150266105
2026-06-16,suilend,2,8.549647997363529,14.912923082545735
2026-06-17,alphalend,3,0.004703863,310.94727092899996
2026-06-17,navi,47,139919.2953328878,153910.99456594425
2026-06-17,scallop,1,57.75747982754746,58.91262832744345
2026-06-17,suilend,1,3.046107435208936,3.321136574152698
2026-06-18,alphalend,13,75845.413683098,4353.124424756
2026-06-18,navi,61,139717.61030771275,154008.43637910098
2026-06-18,scallop,6,834.9228384809181,845.5852996657167
2026-06-18,suilend,23,2453.2395738998084,2625.7196589683426
2026-06-19,alphalend,4,0.023122613,33.871364353
2026-06-19,navi,70,54884.720730499095,60373.19278246743
2026-06-19,scallop,10,1680.2460471006034,1698.9385938846858
2026-06-19,suilend,4,112.7849236321939,126.69257431377997
2026-06-20,alphalend,9,0.23017789,280.909286858
2026-06-20,navi,35,886.1298716845315,973.9644952195138
2026-06-20,scallop,9,447.44634286933194,1201.067653668099
2026-06-20,suilend,19,35.574263835604825,231.1064180816498
2026-06-21,alphalend,11,0.10617192200000002,4388.19360754
2026-06-21,navi,73,1625.0741959061525,1787.5816099903352
2026-06-21,scallop,2,202.67956011874108,204.7063566495809
2026-06-21,suilend,3,54.704838923216855,70.33636507024715
2026-06-22,navi,39,133.4000615465428,146.6296388257857
2026-06-22,scallop,2,211.76604623032483,283.7778136237237
2026-06-23,alphalend,21,80.93448732400002,82624.62389955303
2026-06-23,navi,76,95568.98576091893,105125.46339221619
2026-06-23,scallop,8,1872.347177839719,3992.0754645448014
2026-06-23,suilend,12,389.1930935733451,421.8685811785575
2026-06-24,alphalend,50,2.9693928710000006,5936.580515086999
2026-06-24,navi,128,20683.96297445664,29389.1848224897
2026-06-24,scallop,59,17941.582574990363,18594.645942836807
2026-06-24,suilend,131,43858.28141854792,48096.008514752844
2026-06-25,alphalend,9,0.5710638950000001,2589.177481469
2026-06-25,navi,80,7167.723342613865,7900.466462355435
2026-06-25,scallop,15,8127.942484613708,7528.235732062527
2026-06-25,suilend,24,18145.460688293377,19332.67538448184
2026-06-26,alphalend,5,0.035823653,50.421313157
2026-06-26,navi,34,847.6199835744555,931.6818885857022
2026-06-26,scallop,10,36905.50612726278,8132.215466816315
2026-06-26,suilend,3,11.914680757291752,23.39829453529052
2026-06-27,navi,14,40.306400210635005,44.39202744815999
2026-06-27,scallop,3,10.144765283799117,10.473673712351836
2026-06-27,suilend,1,1.557742771933763,1.549694424488382
2026-06-28,navi,1,18.607005392385,20.46770593045984
2026-06-28,scallop,1,22.60673370232746,23.05886025502616
2026-06-29,alphalend,3,0.041984091,46.098733162
2026-06-29,scallop,2,435.18938887507187,443.89317493200207
2026-06-29,suilend,2,1.2360014406122204,13.005656499008452
2026-06-30,alphalend,3,0.035208158999999996,24321.674662751
2026-06-30,navi,10,195.27720820956,214.80492722219407
2026-06-30,scallop,12,13767.276738569397,10657.30865677194
2026-06-30,suilend,1,2430.486925915865,2572.358823760645
